Online Help Mapper - 364

All parameter DocIDs in Maestro must be mapped to the Map Table below. In Maestro, when a user mouses over a parameter a link appears. 
If the link is clicked, Maestro opens a browser at the Online Help for that parameter.

Example:

User mouses over a parameter which has:
DocID = 1046 (DocID is common to Maestro and Online Help)

Maestro constucts the full_url:

base_url=<root-path-to-folder>/Responsive HTML5/Ncore3_Online_Documentation/User_Guide/Parameters/Parameters.htm#CSH_
CSH_number = 94 (map number to construct url)
full_url = base_url + CSH_number = <root-path-to-folder>/Responsive HTML5/Ncore3_Online_Documentation/User_Guide/Parameters/Parameters.htm#CSH_94

On click, browser opens full_url showing Online Help for that parameter.


-----Map Table-----

DocID,CSH_number
-------------------
1,144
100,134
1046,94
1047,96
1056,328
1057,330
1058,332
1064,334
1065,338
1066,340
107,62
10710,10
10711,12
10712,14
109,64
1092,276
1095,278
11,250
110,70
1102,322
1103,324
1105,326
11098,336
11105,288
11106,266
113,72
115,74
116,34
117,36
118,38
12,252
120,306
12098,438
121,240
1229,460
1297,136
1298,142
1299,132
14,462
1400,18
1401,20
1402,22
1403,24
1404,26
1405,28
1406,30
143,202
144,204
146,364
147,366
15,464
1534,290
1535,292
1536,294
1540,296
15535,310
15536,312
16,210
162,236
163,238
16536,370
17,298
1735,356
1736,358
174,256
177,494
1777,32
178,496
179,348
185,314
19,110
191,254
193,2
1966,118
1967,120
2,146
20,112
2043,160
2045,162
2046,452
2047,454
2048,164
2049,166
2050,456
2051,458
2052,168
2053,170
2054,172
2055,174
2056,176
2057,178
2058,180
2059,182
21,104
22,106
227,40
228,42
229,44
23,300
231,46
24,108
241,208
25,302
2543,196
2544,198
2545,200
26,304
262,212
264,214
266,216
268,218
279,138
280,140
3,148
339,226
3456,16
348,122
349,124
367,488
368,490
371,492
383,4
384,8
385,6
388,498
389,484
391,424
392,426
393,480
395,478
396,482
397,418
398,420
399,422
4,186
406,486
407,474
408,476
489,152
506,190
508,194
519,228
52,272
520,230
521,232
525,234
527,244
528,246
53,444
530,248
531,260
532,262
533,264
534,282
535,284
536,286
538,354
539,362
544,388
547,406
565,408
57,390
6,188
60,116
61,114
617,466
625,404
636,410
7,440
73,58
7551,446
7554,448
778,126
779,128
780,130
79,392
8,268
80,394
81,396
83,398
84,400
887,98
888,100
889,102
89,402
893,372
9,270
91,428
92,430
93,432
94,436
951,56
954,88
955,90
958,82
959,78
96,206
960,86
961,66
962,68
963,76
964,60
966,48
969,50
971,52
972,54
989,150
99,442
997,316
998,318
999,320
